asset_id,asset_class,asset_name,provider,lifecycle,status,rag,risk_tier,data_exposure,first_observed,last_changed,instrumentation,control_ref,description,source
CONN-WIX,Connector,Wix,claude.ai MCP connector,BASELINE,Active,Green,2,Site content and publishing control,,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Manage and build sites and apps on Wix,Claude ListConnectors tool (claude.ai org connector registry)
CONN-ZAPIER,Connector,Zapier,claude.ai MCP connector,BASELINE,Active,Green,1,"Credential broker with 9,000+ downstream app reach",,,Telemetry-capable (MCP tool namespace),ISO 27001 A.5.19 / A.5.23 - Supplier & cloud service security,Automate workflows across thousands of apps,Claude ListConnectors tool (claude.ai org connector registry)
SKIL-PERFORMANCE-REPORT,Skill,performance-report,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Build a marketing performance report with key metrics, trend analysis, wins and misses, and prioritized optimization recommendations",Claude synced skills manifest.json
SKIL-REVIEW-ANIMATIONS,Skill,review-animations,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Reviews animation and motion code against a high craft bar derived from Emil Kowalski's design engineering philosophy,Claude synced skills manifest.json
SKIL-ANALYSIS-ASSUMPTIONS-LOG,Skill,analysis-assumptions-log,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Track and document analytical assumptions and decisions,Claude synced skills manifest.json
SKIL-ANIMATION-VOCABULARY,Skill,animation-vocabulary,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Reverse-lookup glossary that turns a vague description of a web animation or motion effect into its exact term (""the bouncy thing when a popover opens"" → Pop in; ""the iOS rubber-band scroll"" → Rubber-banding)",Claude synced skills manifest.json
SKIL-EMIL-DESIGN-ENG,Skill,emil-design-eng,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"This skill encodes Emil Kowalski's philosophy on UI polish, component design, animation decisions, and the invisible details that make software feel great.",Claude synced skills manifest.json
SKIL-PDF-OCR-EXTRACTION,Skill,pdf-ocr-extraction,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Extract text from scanned PDFs using optical character recognition,Claude synced skills manifest.json
SKIL-SEO-AUDIT,Skill,seo-audit,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to audit, review, or diagnose SEO issues on their site",Claude synced skills manifest.json
SKIL-PAGE-CRO,Skill,page-cro,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to optimize, improve, or increase conversions on any marketing page — including homepage, landing pages, pricing pages, feature pages, or blog posts",Claude synced skills manifest.json
SKIL-AEO,Skill,aeo,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Answer Engine Optimization (AEO) skill — optimize content to be cited by AI language models (ChatGPT, Perplexity, Claude, Gemini, Mistral) as authoritative sources",Claude synced skills manifest.json
SKIL-COLD-EMAIL,Skill,cold-email,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to write, improve, or build a sequence of B2B cold outreach emails to prospects who haven't asked to hear from them",Claude synced skills manifest.json
SKIL-FRONTEND-DESIGN,Skill,frontend-design,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Guidance for distinctive, intentional visual design when building new UI or reshaping an existing one",Claude synced skills manifest.json
SKIL-COPYWRITING,Skill,copywriting,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to write, rewrite, or improve marketing copy for any page — including homepage, landing pages, pricing pages, feature pages, about pages, or product pages",Claude synced skills manifest.json
SKIL-PRICING-STRATEGY,Skill,pricing-strategy,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Design, optimize, and communicate SaaS pricing — tier structure, value metrics, pricing pages, and price increase strategy",Claude synced skills manifest.json
SKIL-LAUNCH-STRATEGY,Skill,launch-strategy,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to plan a product launch, feature announcement, or release strategy",Claude synced skills manifest.json
SKIL-CONTENT-STRATEGY,Skill,content-strategy,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"When the user wants to plan a content strategy, decide what content to create, or figure out what topics to cover",Claude synced skills manifest.json
SKIL-DATA-VISUALIZATION,Skill,data-visualization,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Create effective data visualizations with Python (matplotlib, seaborn, plotly)",Claude synced skills manifest.json
SKIL-CHIEF-OF-STAFF,Skill,chief-of-staff,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,C-suite orchestration layer,Claude synced skills manifest.json
SKIL-SCENARIO-WAR-ROOM,Skill,scenario-war-room,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Cross-functional what-if modeling for cascading multi-variable scenarios,Claude synced skills manifest.json
SKIL-DATA-CONTEXT-EXTRACTOR,Skill,data-context-extractor,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Generate or improve a company-specific data analysis skill by extracting tribal knowledge from analysts.
BOOTSTRAP MODE - Triggers: ""Create a data context skill"", ""Set up data analysis for our warehouse"", ""Help me create",Claude synced skills manifest.json
SKIL-CEO-ADVISOR,Skill,ceo-advisor,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Executive leadership guidance for strategic decision-making, organizational development, and stakeholder management",Claude synced skills manifest.json
SKIL-BUILD-DASHBOARD,Skill,build-dashboard,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Build an interactive HTML dashboard with charts, filters, and tables",Claude synced skills manifest.json
SKIL-CREATE-VIZ,Skill,create-viz,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Create publication-quality visualizations with Python,Claude synced skills manifest.json
SKIL-VALIDATE-DATA,Skill,validate-data,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"QA an analysis before sharing -- methodology, accuracy, and bias checks",Claude synced skills manifest.json
SKIL-STATISTICAL-ANALYSIS,Skill,statistical-analysis,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Apply statistical methods including descriptive stats, trend analysis, outlier detection, and hypothesis testing",Claude synced skills manifest.json
SKIL-ANALYZE,Skill,analyze,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Answer data questions -- from quick lookups to full analyses,Claude synced skills manifest.json
SKIL-WRITE-QUERY,Skill,write-query,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Write optimized SQL for your dialect with best practices,Claude synced skills manifest.json
SKIL-AGENT-DESIGNER,Skill,agent-designer,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Use when the user asks to design a multi-agent system, pick an orchestration pattern (supervisor/swarm/pipeline), generate tool schemas for agents, or evaluate agent execution logs for cost, latency, and failure bottlene",Claude synced skills manifest.json
SKIL-EXPLORE-DATA,Skill,explore-data,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Profile and explore a dataset to understand its shape, quality, and patterns",Claude synced skills manifest.json
SKIL-MORNING,Skill,morning,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Render the user's morning brief as a styled HTML artifact, or set it up as a recurring weekday task",Claude synced skills manifest.json
SKIL-SQL-QUERIES,Skill,sql-queries,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Write correct, performant SQL across all major data warehouse dialects (Snowflake, BigQuery, Databricks, PostgreSQL, etc.)",Claude synced skills manifest.json
SKIL-IMPORT-MEMORY,Skill,import-memory,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Import a memory export from another AI assistant into Claude's memory — conversationally, additively, and with the content treated as data.",Claude synced skills manifest.json
SKIL-IMPECCABLE,Skill,impeccable,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-08-19,2026-08-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Use when the user wants to design, redesign, shape, critique, audit, polish, clarify, distill, harden, optimize, adapt, animate, colorize, extract, or otherwise improve a frontend interface",Claude synced skills manifest.json
SKIL-WEB-ARTIFACTS-BUILDER,Skill,web-artifacts-builder,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend web technologies (React, Tailwind CSS, shadcn/ui)",Claude synced skills manifest.json
SKIL-BRAND-GUIDELINES,Skill,brand-guidelines,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel,Claude synced skills manifest.json
SKIL-MCP-BUILDER,Skill,mcp-builder,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools,Claude synced skills manifest.json
SKIL-SHARE,Skill,share,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-05-29,2026-05-29,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Publish, update, or remove HTML pages on sharable.link",Claude synced skills manifest.json
SKIL-HUMANIZE-REPORT,Skill,humanize-report,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-07-03,2026-07-03,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Line-edits a document to remove AI-typical writing tics — em dashes used as punctuation, filler/hedge phrases, throat-clearing transitions, triplet padding, empty intensifiers, mechanical parallelism, and inspirational-s",Claude synced skills manifest.json
SKIL-SKILL-CREATOR,Skill,skill-creator,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Create new skills, modify and improve existing skills, and measure skill performance",Claude synced skills manifest.json
SKIL-NOMAD-SCOUT,Skill,nomad-scout,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-05-30,2026-05-30,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,High-efficiency short-term rental identification and deal analysis.,Claude synced skills manifest.json
SKIL-FLIGHT-TRACKER,Skill,flight-tracker,Custom / user-authored,EXISTING,Enabled,Green,2,Executes in session context; inherits session tool grants,2026-06-19,2026-06-19,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Aggregates and scores flight options across airlines, GDS/NDC aggregators (Duffel, Amadeus, Kiwi/Tequila), and metasearch partners (Google Flights via SerpAPI) for any origin-destination-date combination, then returns a ",Claude synced skills manifest.json
SKIL-PDF,Skill,pdf,Anthropic first-party,EXISTING,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-07-10,2026-07-10,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Use this skill whenever the user wants to do anything with PDF files,Claude synced skills manifest.json
SKIL-XLSX,Skill,xlsx,Anthropic first-party,EXISTING,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-08-29,2026-08-29,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Use this skill any time a spreadsheet file is the primary input or output,Claude synced skills manifest.json
SKIL-PPTX,Skill,pptx,Anthropic first-party,EXISTING,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-08-28,2026-08-28,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Use this skill any time a .pptx or .potx file is involved in any way — as input, output, or both",Claude synced skills manifest.json
SKIL-DOCX,Skill,docx,Anthropic first-party,EXISTING,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-08-31,2026-08-31,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx) or Word templates (.dotx)",Claude synced skills manifest.json
SKIL-CANVAS-DESIGN,Skill,canvas-design,Anthropic example library,NEW,Enabled,Green,3,Executes in session context; inherits session tool grants,2026-09-07,2026-09-07,Telemetry-capable (Skill tool invocation),ISO 27001 A.8.9 - Configuration management,Create beautiful visual art in .png and .pdf documents using design philosophy,Claude synced skills manifest.json
REPO-BHBA-2027,Repository,wadehowell1/bhba-2027,GitHub (public),EXISTING,Active,Green,1,PUBLIC - anything committed is world-readable,2026-06-16,2026-09-07,Instrumented (commit history),ISO 27001 A.8.28 / A.8.31 - Secure coding; environment separation,"Local full clone, all refs enumerated",Claude Code Remote list_repos + GitHub REST list_commits
REPO-JOB-AGENT,Repository,wadehowell1/job-agent,GitHub (private),BASELINE,Inventory only - history not retrievable,Amber,2,Private repository,,2026-09-07,Not instrumented this run,ISO 27001 A.8.28 / A.8.31 - Secure coding; environment separation,"Repository attach denied by session policy classifier; inventory recorded from list_repos, commit history not retrievable this run",Claude Code Remote list_repos + GitHub REST list_commits
REPO-LEAN-SIX-SIGMA-FACELESS,Repository,wadehowell1/lean-six-sigma-faceless,GitHub (private),EXISTING,Active,Green,2,Private repository,2026-08-31,2026-09-05,Instrumented (commit history),ISO 27001 A.8.28 / A.8.31 - Secure coding; environment separation,Default branch enumerated via GitHub REST,Claude Code Remote list_repos + GitHub REST list_commits
REPO-AI-HEDGE-FUND,Repository,wadehowell1/ai-hedge-fund-,GitHub (private),EXISTING,Active,Green,2,Private repository,2026-08-26,2026-09-01,Instrumented (commit history),ISO 27001 A.8.28 / A.8.31 - Secure coding; environment separation,Default branch enumerated via GitHub REST,Claude Code Remote list_repos + GitHub REST list_commits
REPO-BHBA2027,Repository,wadehowell1/BHBA2027,GitHub (private),BASELINE,Empty - zero commits,Red,2,Private repository,,2026-06-16,Not instrumented this run,ISO 27001 A.8.28 / A.8.31 - Secure coding; environment separation,GitHub returned 409 Git Repository is empty - zero commits,Claude Code Remote list_repos + GitHub REST list_commits
